week_48,label,sci,ebird_score,in_ebird
3,Periparus ater_Coal Tit,Periparus ater,0.4048,True
3,Grus grus_Common Crane,Grus grus,0.1269,True
3,Bucephala clangula_Common Goldeneye,Bucephala clangula,0.4798,True
3,Tringa nebularia_Common Greenshank,Tringa nebularia,0.3313,True
3,Larus canus_Common Gull,Larus canus,0.4161,True
3,Alcedo atthis_Common Kingfisher,Alcedo atthis,0.5105,True
3,Mergus merganser_Common Merganser,Mergus merganser,0.5203,True
3,Gallinula chloropus_Common Moorhen,Gallinula chloropus,0.4138,True
3,Aythya ferina_Common Pochard,Aythya ferina,0.6652,True
3,Tringa totanus_Common Redshank,Tringa totanus,0.2427,True
3,Actitis hypoleucos_Common Sandpiper,Actitis hypoleucos,0.5223,True
3,Tadorna tadorna_Common Shelduck,Tadorna tadorna,0.5519,True
3,Gallinago gallinago_Common Snipe,Gallinago gallinago,0.4552,True
3,Anas crecca_Common Teal,Anas crecca,0.7885,True
3,Calidris ferruginea_Curlew Sandpiper,Calidris ferruginea,0.0495,True
